,grade,负债水平,年龄,closed_accounts,past_due_accounts,open_accounts,enquiry_alert,一年内信用卡查询次数,一年内贷款查询次数,在用信用卡数,信用卡总额度,信用卡平均额度,当前贷款笔数,贷款总额度,贷款平均额度,近一年逾期30天以上次数,平均每月还款额,学历,就业状况
0,,220605,35,14,0,5,57,4,11,0,0,0,5,239765,47953,4,11319,,
1,,274346,33,1,0,5,63,0,7,1,36000,36000,4,270984,67746,0,1578,,
2,,309839,47,29,0,6,71,2,15,1,10000,10000,5,354000,70800,2,16338,,
3,,40806,27,20,0,4,58,0,10,1,2000,2000,3,70000,23333,2,10200,,
4,,240985,28,2,0,5,45,0,5,1,79000,79000,4,160000,40000,2,2546,,
5,,275144,45,13,0,12,75,1,14,2,118000,59000,10,328105,32811,2,5885,,
6,,246529,26,7,0,6,92,0,49,0,0,0,6,330000,55000,4,5506,,
7,,-3,26,2,0,0,22,0,10,0,0,0,0,0,0,0,12994,,
8,,599472,33,11,0,7,96,0,6,3,39000,13000,4,421248,105312,3,10894,,
9,,72607,38,5,0,4,61,12,28,0,0,0,4,65000,16250,0,1045,,
10,,180737,27,3,0,6,75,1,16,3,287000,95667,3,70000,23333,1,9790,,
11,,678800,42,7,0,8,82,1,40,1,69000,69000,7,615000,87857,3,21562,,
12,,54701,22,3,0,7,47,1,16,1,10000,10000,6,105000,17500,3,3906,,
13,,398882,26,1,0,8,54,3,24,1,68000,68000,7,490000,70000,1,8430,,
14,,102775,21,2,0,5,39,11,19,3,25000,8333,2,75000,37500,0,4019,,
15,,180834,25,26,0,4,51,1,10,0,0,0,4,169000,42250,0,2035,,
16,,140893,24,4,0,9,117,6,17,8,118000,14750,1,50000,50000,5,5032,,
17,,28514,46,10,0,2,11,1,1,1,15000,15000,1,15000,15000,4,19516,,
18,,147411,25,5,0,4,31,0,3,0,0,0,4,123969,30992,0,10862,,
19,,323263,31,1,0,7,37,0,6,5,156000,31200,2,150000,75000,0,5363,,
20,,76196,29,13,0,5,54,0,7,0,0,0,5,110000,22000,7,9567,,
21,,158432,48,10,0,12,123,1,48,2,20000,10000,10,181810,18181,1,1426,,
22,,159382,33,14,0,6,68,0,22,0,0,0,6,155000,25833,0,23364,,
23,,102685,31,4,1,4,61,0,10,1,14000,14000,4,112000,28000,1,11561,,
24,,-4,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,
25,,494317,48,10,1,7,97,0,9,6,417000,69500,2,80000,40000,1,5274,,
26,,94087,26,15,0,9,36,7,15,2,43000,21500,7,100000,14286,6,3876,,
27,,76555,25,2,0,5,10,3,1,4,40000,10000,1,30000,30000,0,712,,
28,,23689,23,4,0,2,11,1,6,0,0,0,2,25000,12500,3,268,,
29,,376713,44,11,0,7,63,3,7,3,20000,6667,4,420000,105000,0,27242,,
30,,324677,26,5,0,8,102,0,19,1,48000,48000,7,308600,44086,0,11819,,
31,,51672,26,1,0,4,24,0,0,4,45000,11250,0,0,0,0,0,,
32,,-3,37,1,2,0,33,0,5,2,20000,10000,0,0,0,2,0,,
33,,1066894,38,12,0,9,94,2,7,2,192000,96000,7,930000,132857,0,30186,,
34,,192917,37,6,0,2,17,1,6,0,0,0,2,160000,80000,2,1665,,
35,,39200,22,2,0,6,42,2,19,0,0,0,6,68000,11333,1,4636,,
36,,426334,43,13,0,7,79,0,15,0,0,0,7,423693,60528,2,10085,,
37,,77787,37,6,2,5,20,0,5,5,139000,27800,2,100000,50000,4,3880,,
38,,279204,29,6,0,5,77,2,15,0,0,0,5,310000,62000,1,6991,,
39,,13949,21,9,0,3,57,0,20,0,0,0,3,25000,8333,5,4953,,
40,,35107,31,22,0,6,61,0,32,0,0,0,6,75000,12500,1,18307,,
41,,274000,25,21,0,5,84,1,19,0,0,0,5,222000,44400,1,14109,,
42,,214144,36,10,0,6,57,0,35,6,163200,27200,6,324458,54076,2,12034,,
43,,146636,25,0,0,7,33,0,6,3,80000,26667,4,60000,15000,0,815,,
44,,141931,41,22,0,6,45,0,7,0,0,0,6,135000,22500,5,12721,,
45,,10684,40,2,2,1,63,6,8,2,23000,11500,1,25000,25000,2,2147,,
46,,384584,34,24,0,4,16,0,7,0,0,0,4,419033,104758,3,18759,,
47,,591081,34,5,0,7,127,0,2,5,496000,99200,2,450000,225000,0,54955,,
48,,335135,27,8,0,10,125,2,34,2,78000,39000,8,400000,50000,2,6336,,
49,,410159,34,13,0,6,38,0,6,0,0,0,6,388961,64827,1,4366,,
50,,1247348,55,24,0,8,55,0,5,2,80000,40000,6,916000,152667,4,212223,,
51,,122338,44,15,0,7,30,0,16,0,0,0,7,195000,27857,2,10925,,
52,,50718,21,0,0,3,19,0,6,0,0,0,3,69990,23330,0,883,,
53,,211536,27,7,0,4,52,0,9,2,124000,62000,2,70000,35000,1,2972,,
54,,145524,22,0,0,4,43,3,7,0,0,0,4,105000,26250,0,1283,,
55,,61689,21,1,0,4,10,0,9,0,0,0,4,65000,16250,0,6734,,
56,,80379,24,3,0,4,17,0,2,0,0,0,4,74991,18748,0,606,,
57,,135166,50,12,0,5,51,0,2,1,10000,10000,4,150000,37500,1,7055,,
58,,615406,39,18,0,9,95,0,23,1,10000,10000,8,760000,95000,3,27876,,
59,,22306,35,10,0,3,69,1,10,1,9000,9000,2,20000,10000,0,7007,,
60,,-3,36,1,0,0,4,0,1,0,0,0,0,0,0,0,0,,
61,,170755,23,0,0,3,16,1,4,0,0,0,3,149986,49995,0,1975,,
62,,132143,23,12,0,5,50,0,17,0,0,0,5,131000,26200,0,8991,,
63,,232873,48,8,0,4,31,1,7,0,0,0,4,1187000,296750,1,14306,,
64,,361994,38,10,0,6,71,2,19,2,40000,20000,4,280000,70000,0,27869,,
65,,201126,31,0,0,3,31,3,10,0,0,0,3,220000,73333,0,6059,,
66,,355068,35,2,0,14,93,3,16,5,36000,7200,9,380000,42222,1,3414,,
67,,86671,25,8,0,9,63,1,16,1,5000,5000,8,138559,17320,3,3239,,
68,,227389,24,6,0,3,89,2,4,0,0,0,3,218190,72730,3,16124,,
69,,316873,47,0,2,3,14,1,9,2,0,0,3,290000,96667,2,3211,,
70,,83798,21,0,0,4,33,0,2,4,103000,25750,0,0,0,0,950,,
71,,8701,58,0,2,1,17,2,9,2,40000,20000,1,10000,10000,2,358,,
72,,-3,51,0,5,0,1,0,0,4,55000,13750,1,180000,180000,5,0,,
73,,75176,23,18,0,2,41,5,13,0,0,0,2,75000,37500,1,9860,,
