是否逾期,申请时段,grade,closed_accounts,open_accounts,enquiry_alert,人脸相似度,电话使用时长,年龄,分区,信用卡额度使用率,信用卡数,信用卡平均额度,贷款数,贷款平均额度,平均分期金额,平均期数,90天内贷款查询次数,180天内贷款查询次数,120天内信用卡查询次数,365天内信用卡查询次数,历史近两年逾期最大天数,ULC33S,近三个月逾期天数,G207O,dsr_before,身份证号首字母,历史申请贷款查询数,开户成功率,total_monthly_obligation
否,21点,HH,14,5,57,0.34,Missing,35,元朗,0.98,2,29883,3,60000,3533,24,1,4,2,4,18,220605,18,12357,73,Z,20,0.75,12702
否,22点,HH,1,5,63,0.55,两年以上,33,葵青,1.01,4,55496,1,85000,2195,48,6,6,0,0,0,274346,0,8910,45,Z,6,0.17,9255
否,13点,II,29,6,71,0.54,两年以上,46,九龙城,0.65,3,20000,3,101333,6110,28,1,8,1,2,0,309839,0,19507,82,G,30,1.1,19692
否,11点,II,20,4,58,0.56,两年以上,27,屯门,0,3,14000,1,30000,2267,18,6,10,0,0,8,40806,8,2267,8,Y,27,0.63,2451
否,10点,HH,2,5,45,0.5,两年以上,28,屯门,0.98,3,63000,2,25000,2600,12,5,5,0,0,0,240985,0,10775,22,Y,4,1.25,11120
否,11点,II,13,12,75,0.68,两年以上,45,西贡,0.59,3,17955,7,39177,1367,47,7,10,0,1,3,275144,0,10523,100,K,28,0.71,10707
是,13点,II,7,6,92,0.47,半年到一年,26,观塘,0,1,30000,5,60000,2881,34,14,32,0,0,64,246529,0,14406,63,Y,48,0.17,14590
否,14点,FF,2,0,22,0.76,一年到两年,26,观塘,0.74,2,34000,2,32500,2069,24,4,6,0,0,0,141355,0,6578,32,Y,21,0.1,0
否,21点,HH,11,7,96,0.6,Missing,33,北区,0.47,4,22250,3,123749,3279,68,4,5,0,0,0,599472,0,11093,45,Z,9,0.33,11438
否,0点,II,5,4,61,0.57,一年到两年,38,北区,0.99,2,18500,2,14000,1492,12,13,15,0,13,1,72607,1,4088,29,P,31,0.29,4272
否,11点,II,3,6,75,0.36,两年以上,26,黄大仙,0.44,4,74250,2,30000,1054,48,5,11,0,1,0,180737,61,6039,45,Y,12,0.25,6223
是,14点,II,7,8,82,0.39,两年以上,41,油尖旺,0.92,3,49667,5,107000,4787,34,13,28,0,1,32,678800,32,28067,40,K,38,0.34,28251
否,15点,II,3,7,47,0.64,Missing,22,葵青,0.38,2,10000,4,16250,1148,32,3,9,0,1,12,54701,12,4821,31,R,20,0.45,5005
否,15点,II,1,8,54,0.31,半年到一年,26,葵青,0.59,2,49000,6,76667,3771,30,9,12,1,3,2,398882,0,24362,54,Y,18,0.22,0
否,17点,II,2,5,39,0.64,半年到一年,20,西贡,1.03,4,23750,1,5000,236,48,2,4,4,11,0,102775,0,3169,63,Y,15,0.27,3353
否,18点,II,26,4,51,0.46,两年以上,25,油尖旺,0.84,2,42000,2,42500,3522,17,2,5,1,1,4,180834,0,9150,51,Y,26,1.12,9335
否,9点,II,4,9,117,0.64,Missing,24,屯门,0.77,8,14750,1,50000,3878,18,3,8,1,8,0,140893,1,6605,44,Y,25,0.16,6789
否,12点,FF,10,2,11,0.54,两年以上,46,九龙城,1,1,15000,1,15000,2016,9,1,1,0,1,0,28514,0,2464,14,K,6,1.67,2848
否,17点,II,5,4,31,0.44,半年到一年,25,元朗,0.99,2,22485,2,39500,2270,21,1,2,0,0,1,147411,0,5869,33,Y,14,0.64,6053
否,8点,HH,1,7,37,0.33,三个月内,31,南区,1,6,37667,1,80000,5444,18,6,6,0,0,0,323263,1,12202,61,Z,5,0.2,12547
是,11点,II,13,5,54,0.63,Missing,29,葵青,0.82,2,20000,2,20000,2137,12,3,4,0,0,4,76196,4,5262,18,V,12,1.25,5447
否,11点,II,10,12,123,0.61,Missing,48,屯门,0.41,6,10833,6,22802,1532,27,11,19,1,2,0,158432,0,9999,74,G,46,0.37,10183
是,12点,II,14,6,68,0.53,两年以上,33,黄大仙,0.95,3,28333,3,23333,1445,32,9,13,0,0,0,159382,0,6758,50,Z,29,0.52,6942
是,12点,II,4,4,61,0.61,两年以上,30,沙田,0.82,2,15000,2,41000,2344,42,3,5,0,0,0,102685,0,5426,32,Z,14,0.57,5610
是,12点,EE,0,0,8,0.71,Missing,20,九龙城,0.74,2,34000,2,32500,2069,24,0,0,0,0,0,141355,0,6578,0,Y,7,0,436
是,14点,II,10,7,97,0.4,两年以上,48,南区,0.99,6,73553,1,60000,4549,18,4,5,0,0,0,494317,30,17604,88,D,11,0.91,17789
