base_score,[481.37480316]
age,Score
"(-inf, 48.557]",-3.3976970373994066
"(48.557, 58.669]",-0.7421874154201907
"(58.669, 64.0]",4.986574878033224
"(64.0, 74.0]",9.082722937372793
"(74.0, inf]",14.200182212840563
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0607]",44.70858968009497
"(0.0607, 0.221]",19.276758564195603
"(0.221, 0.465]",0.15850856050506387
"(0.465, 0.984]",-19.395152940754265
"(0.984, 1.0]",-8.246192074460943
"(1.0, inf]",-37.59748945852822
DebtRatio,Score
"(-inf, 0.0179]",3.606258162266225
"(0.0179, 0.36]",0.14068594628271403
"(0.36, 1.518]",-0.8275001765720056
"(1.518, inf]",0.40062481114293336
MonthlyIncome,Score
"(-inf, 0.1]",37.37254132836596
"(0.1, 5583.0]",-6.234630395340237
"(5583.0, inf]",6.037391501430437
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 5.953]",-6.67957902091506
"(5.953, 6.0]",40.72406065088283
"(6.0, 8.87]",-4.8919330239631
"(8.87, 9.091]",28.396291382968677
"(9.091, inf]",0.45548729413165595
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",20.188880385292023
"(0.0, 1.0]",-25.557284696536698
"(1.0, 2.0]",-37.448546067444234
"(2.0, inf]",-42.248866087412615
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",13.664792908909035
"(0.0, 1.0]",-49.85727990968652
"(1.0, 2.0]",-59.85805254617355
"(2.0, inf]",-60.947486404336665
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",12.827556855752135
"(0.0, 1.0]",-0.6525189149219333
"(1.0, 2.0]",-7.09788420881171
"(2.0, 4.0]",-24.63053157355097
"(4.0, inf]",-49.08923370451302
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",8.803546253805314
"(0.0, 1.0]",-39.87008882025992
"(1.0, 2.0]",-48.40964608627071
"(2.0, inf]",-46.57467483277892
NumberOfDependents,Score
"(-inf, 0.0]",10.842926815971051
"(0.0, 1.0]",-10.081786820334909
"(1.0, 2.0]",-9.004106301481292
"(2.0, inf]",-8.630246014901392
